사업명,기준년월,시도,수급권자수,수급가구수
기초생활보장(맞춤형급여) - 중복제거,2023-01,서울특별시,413026,308573
기초생활보장(맞춤형급여) - 중복제거,2023-01,부산광역시,227281,168883
기초생활보장(맞춤형급여) - 중복제거,2023-01,대구광역시,148319,107969
기초생활보장(맞춤형급여) - 중복제거,2023-01,인천광역시,166667,116753
기초생활보장(맞춤형급여) - 중복제거,2023-01,광주광역시,94217,63515
기초생활보장(맞춤형급여) - 중복제거,2023-01,대전광역시,75196,53603
기초생활보장(맞춤형급여) - 중복제거,2023-01,울산광역시,41611,30586
기초생활보장(맞춤형급여) - 중복제거,2023-01,세종특별자치시,8184,5526
기초생활보장(맞춤형급여) - 중복제거,2023-01,경기도,445281,322983
기초생활보장(맞춤형급여) - 중복제거,2023-01,강원도,85816,64756
기초생활보장(맞춤형급여) - 중복제거,2023-01,충청북도,78883,58603
기초생활보장(맞춤형급여) - 중복제거,2023-01,충청남도,88889,66943
기초생활보장(맞춤형급여) - 중복제거,2023-01,전라북도,128530,90875
기초생활보장(맞춤형급여) - 중복제거,2023-01,전라남도,104163,78114
기초생활보장(맞춤형급여) - 중복제거,2023-01,경상북도,147576,111705
기초생활보장(맞춤형급여) - 중복제거,2023-01,경상남도,168273,123622
기초생활보장(맞춤형급여) - 중복제거,2023-01,제주특별자치도,33592,23071
기초생활보장(맞춤형급여) - 중복제거,2023-02,서울특별시,413864,309493
기초생활보장(맞춤형급여) - 중복제거,2023-02,부산광역시,227683,169314
기초생활보장(맞춤형급여) - 중복제거,2023-02,대구광역시,148708,108315
기초생활보장(맞춤형급여) - 중복제거,2023-02,인천광역시,166998,117075
기초생활보장(맞춤형급여) - 중복제거,2023-02,광주광역시,94356,63650
기초생활보장(맞춤형급여) - 중복제거,2023-02,대전광역시,75299,53705
기초생활보장(맞춤형급여) - 중복제거,2023-02,울산광역시,41764,30690
기초생활보장(맞춤형급여) - 중복제거,2023-02,세종특별자치시,8200,5540
기초생활보장(맞춤형급여) - 중복제거,2023-02,경기도,447007,324430
기초생활보장(맞춤형급여) - 중복제거,2023-02,강원도,85992,64890
기초생활보장(맞춤형급여) - 중복제거,2023-02,충청북도,79088,58752
기초생활보장(맞춤형급여) - 중복제거,2023-02,충청남도,89077,67134
기초생활보장(맞춤형급여) - 중복제거,2023-02,전라북도,128711,91088
기초생활보장(맞춤형급여) - 중복제거,2023-02,전라남도,104346,78302
기초생활보장(맞춤형급여) - 중복제거,2023-02,경상북도,147961,112047
기초생활보장(맞춤형급여) - 중복제거,2023-02,경상남도,168778,124055
기초생활보장(맞춤형급여) - 중복제거,2023-02,제주특별자치도,33592,23098
기초생활보장(맞춤형급여) - 중복제거,2023-03,서울특별시,414271,310304
기초생활보장(맞춤형급여) - 중복제거,2023-03,부산광역시,228355,170050
기초생활보장(맞춤형급여) - 중복제거,2023-03,대구광역시,149030,108767
기초생활보장(맞춤형급여) - 중복제거,2023-03,인천광역시,167191,117430
기초생활보장(맞춤형급여) - 중복제거,2023-03,광주광역시,94416,63832
기초생활보장(맞춤형급여) - 중복제거,2023-03,대전광역시,75185,53755
기초생활보장(맞춤형급여) - 중복제거,2023-03,울산광역시,42081,30973
기초생활보장(맞춤형급여) - 중복제거,2023-03,세종특별자치시,8218,5571
기초생활보장(맞춤형급여) - 중복제거,2023-03,경기도,448959,326419
기초생활보장(맞춤형급여) - 중복제거,2023-03,강원도,86064,65028
기초생활보장(맞춤형급여) - 중복제거,2023-03,충청북도,79308,59036
기초생활보장(맞춤형급여) - 중복제거,2023-03,충청남도,89281,67436
기초생활보장(맞춤형급여) - 중복제거,2023-03,전라북도,128756,91313
기초생활보장(맞춤형급여) - 중복제거,2023-03,전라남도,104497,78557
기초생활보장(맞춤형급여) - 중복제거,2023-03,경상북도,148401,112587
기초생활보장(맞춤형급여) - 중복제거,2023-03,경상남도,169549,124807
기초생활보장(맞춤형급여) - 중복제거,2023-03,제주특별자치도,33733,23224
기초생활보장(맞춤형급여) - 중복제거,2023-04,서울특별시,416098,311912
기초생활보장(맞춤형급여) - 중복제거,2023-04,부산광역시,230341,171555
기초생활보장(맞춤형급여) - 중복제거,2023-04,대구광역시,150061,109602
기초생활보장(맞춤형급여) - 중복제거,2023-04,인천광역시,168460,118405
기초생활보장(맞춤형급여) - 중복제거,2023-04,광주광역시,95378,64527
기초생활보장(맞춤형급여) - 중복제거,2023-04,대전광역시,75648,54158
기초생활보장(맞춤형급여) - 중복제거,2023-04,울산광역시,42392,31211
기초생활보장(맞춤형급여) - 중복제거,2023-04,세종특별자치시,8316,5635
기초생활보장(맞춤형급여) - 중복제거,2023-04,경기도,453712,329891
기초생활보장(맞춤형급여) - 중복제거,2023-04,강원도,86470,65345
기초생활보장(맞춤형급여) - 중복제거,2023-04,충청북도,80318,59793
기초생활보장(맞춤형급여) - 중복제거,2023-04,충청남도,90053,68038
기초생활보장(맞춤형급여) - 중복제거,2023-04,전라북도,129582,91943
기초생활보장(맞춤형급여) - 중복제거,2023-04,전라남도,105500,79322
기초생활보장(맞춤형급여) - 중복제거,2023-04,경상북도,149716,113556
기초생활보장(맞춤형급여) - 중복제거,2023-04,경상남도,171158,125984
기초생활보장(맞춤형급여) - 중복제거,2023-04,제주특별자치도,33878,23342
기초생활보장(맞춤형급여) - 중복제거,2023-05,서울특별시,419496,314592
기초생활보장(맞춤형급여) - 중복제거,2023-05,부산광역시,231861,172743
기초생활보장(맞춤형급여) - 중복제거,2023-05,대구광역시,151293,110488
기초생활보장(맞춤형급여) - 중복제거,2023-05,인천광역시,169892,119388
기초생활보장(맞춤형급여) - 중복제거,2023-05,광주광역시,95950,64939
기초생활보장(맞춤형급여) - 중복제거,2023-05,대전광역시,76214,54558
기초생활보장(맞춤형급여) - 중복제거,2023-05,울산광역시,42724,31430
기초생활보장(맞춤형급여) - 중복제거,2023-05,세종특별자치시,8496,5748
기초생활보장(맞춤형급여) - 중복제거,2023-05,경기도,459007,333552
기초생활보장(맞춤형급여) - 중복제거,2023-05,강원도,87066,65788
기초생활보장(맞춤형급여) - 중복제거,2023-05,충청북도,80941,60267
기초생활보장(맞춤형급여) - 중복제거,2023-05,충청남도,91137,68799
기초생활보장(맞춤형급여) - 중복제거,2023-05,전라북도,130509,92599
기초생활보장(맞춤형급여) - 중복제거,2023-05,전라남도,106273,79885
기초생활보장(맞춤형급여) - 중복제거,2023-05,경상북도,151134,114544
기초생활보장(맞춤형급여) - 중복제거,2023-05,경상남도,173051,127315
기초생활보장(맞춤형급여) - 중복제거,2023-05,제주특별자치도,34055,23456
기초생활보장(맞춤형급여) - 중복제거,2023-06,서울특별시,421481,316131
기초생활보장(맞춤형급여) - 중복제거,2023-06,부산광역시,232289,173265
기초생활보장(맞춤형급여) - 중복제거,2023-06,대구광역시,151448,110691
기초생활보장(맞춤형급여) - 중복제거,2023-06,인천광역시,170836,120081
기초생활보장(맞춤형급여) - 중복제거,2023-06,광주광역시,95975,65008
기초생활보장(맞춤형급여) - 중복제거,2023-06,대전광역시,76498,54842
기초생활보장(맞춤형급여) - 중복제거,2023-06,울산광역시,42977,31583
기초생활보장(맞춤형급여) - 중복제거,2023-06,세종특별자치시,8517,5779
기초생활보장(맞춤형급여) - 중복제거,2023-06,경기도,461759,335599
기초생활보장(맞춤형급여) - 중복제거,2023-06,충청북도,80868,60256
기초생활보장(맞춤형급여) - 중복제거,2023-06,충청남도,91488,69008
기초생활보장(맞춤형급여) - 중복제거,2023-06,전라북도,130855,92841
기초생활보장(맞춤형급여) - 중복제거,2023-06,전라남도,106459,80043
기초생활보장(맞춤형급여) - 중복제거,2023-06,경상북도,151352,114712
기초생활보장(맞춤형급여) - 중복제거,2023-06,경상남도,173562,127696
기초생활보장(맞춤형급여) - 중복제거,2023-06,제주특별자치도,34094,23504
기초생활보장(맞춤형급여) - 중복제거,2023-06,강원특별자치도,87067,65786
기초생활보장(맞춤형급여) - 중복제거,2023-07,서울특별시,421771,316963
기초생활보장(맞춤형급여) - 중복제거,2023-07,부산광역시,232620,173840
기초생활보장(맞춤형급여) - 중복제거,2023-07,대구광역시,152966,112059
기초생활보장(맞춤형급여) - 중복제거,2023-07,인천광역시,171241,120591
기초생활보장(맞춤형급여) - 중복제거,2023-07,광주광역시,95783,65046
기초생활보장(맞춤형급여) - 중복제거,2023-07,대전광역시,76553,54979
기초생활보장(맞춤형급여) - 중복제거,2023-07,울산광역시,42994,31677
기초생활보장(맞춤형급여) - 중복제거,2023-07,세종특별자치시,8522,5780
기초생활보장(맞춤형급여) - 중복제거,2023-07,경기도,463453,337434
기초생활보장(맞춤형급여) - 중복제거,2023-07,충청북도,80898,60383
기초생활보장(맞춤형급여) - 중복제거,2023-07,충청남도,91733,69216
기초생활보장(맞춤형급여) - 중복제거,2023-07,전라북도,130806,93050
기초생활보장(맞춤형급여) - 중복제거,2023-07,전라남도,106611,80324
기초생활보장(맞춤형급여) - 중복제거,2023-07,경상북도,150245,114053
기초생활보장(맞춤형급여) - 중복제거,2023-07,경상남도,173706,128036
기초생활보장(맞춤형급여) - 중복제거,2023-07,제주특별자치도,34098,23540
기초생활보장(맞춤형급여) - 중복제거,2023-07,강원특별자치도,86981,65841
기초생활보장(맞춤형급여) - 중복제거,2023-08,서울특별시,423067,318196
기초생활보장(맞춤형급여) - 중복제거,2023-08,부산광역시,233181,174457
기초생활보장(맞춤형급여) - 중복제거,2023-08,대구광역시,153485,112542
기초생활보장(맞춤형급여) - 중복제거,2023-08,인천광역시,171888,121153
기초생활보장(맞춤형급여) - 중복제거,2023-08,광주광역시,95876,65168
기초생활보장(맞춤형급여) - 중복제거,2023-08,대전광역시,76839,55223
기초생활보장(맞춤형급여) - 중복제거,2023-08,울산광역시,43141,31796
기초생활보장(맞춤형급여) - 중복제거,2023-08,세종특별자치시,8549,5797
기초생활보장(맞춤형급여) - 중복제거,2023-08,경기도,466063,339553
기초생활보장(맞춤형급여) - 중복제거,2023-08,충청북도,81002,60537
기초생활보장(맞춤형급여) - 중복제거,2023-08,충청남도,92109,69536
기초생활보장(맞춤형급여) - 중복제거,2023-08,전라북도,130980,93265
기초생활보장(맞춤형급여) - 중복제거,2023-08,전라남도,106862,80514
기초생활보장(맞춤형급여) - 중복제거,2023-08,경상북도,150704,114393
기초생활보장(맞춤형급여) - 중복제거,2023-08,경상남도,174240,128512
기초생활보장(맞춤형급여) - 중복제거,2023-08,제주특별자치도,34376,23743
기초생활보장(맞춤형급여) - 중복제거,2023-08,강원특별자치도,86664,65969
기초생활보장(맞춤형급여) - 중복제거,2023-09,서울특별시,424163,319266
기초생활보장(맞춤형급여) - 중복제거,2023-09,부산광역시,233654,174950
기초생활보장(맞춤형급여) - 중복제거,2023-09,대구광역시,153713,112766
기초생활보장(맞춤형급여) - 중복제거,2023-09,인천광역시,172518,121705
기초생활보장(맞춤형급여) - 중복제거,2023-09,광주광역시,95866,65254
기초생활보장(맞춤형급여) - 중복제거,2023-09,대전광역시,77125,55513
기초생활보장(맞춤형급여) - 중복제거,2023-09,울산광역시,43330,31940
기초생활보장(맞춤형급여) - 중복제거,2023-09,세종특별자치시,8532,5806
기초생활보장(맞춤형급여) - 중복제거,2023-09,경기도,468115,341287
기초생활보장(맞춤형급여) - 중복제거,2023-09,충청북도,81262,60763
기초생활보장(맞춤형급여) - 중복제거,2023-09,충청남도,92373,69786
기초생활보장(맞춤형급여) - 중복제거,2023-09,전라북도,131084,93415
기초생활보장(맞춤형급여) - 중복제거,2023-09,전라남도,107207,80829
기초생활보장(맞춤형급여) - 중복제거,2023-09,경상북도,151041,114785
기초생활보장(맞춤형급여) - 중복제거,2023-09,경상남도,174855,129023
기초생활보장(맞춤형급여) - 중복제거,2023-09,제주특별자치도,34623,23926
기초생활보장(맞춤형급여) - 중복제거,2023-09,강원특별자치도,86845,66104
기초생활보장(맞춤형급여) - 중복제거,2023-10,서울특별시,424818,320133
기초생활보장(맞춤형급여) - 중복제거,2023-10,부산광역시,233605,175131
기초생활보장(맞춤형급여) - 중복제거,2023-10,대구광역시,153838,112956
기초생활보장(맞춤형급여) - 중복제거,2023-10,인천광역시,173026,122246
기초생활보장(맞춤형급여) - 중복제거,2023-10,광주광역시,95821,65315
기초생활보장(맞춤형급여) - 중복제거,2023-10,대전광역시,77321,55693
기초생활보장(맞춤형급여) - 중복제거,2023-10,울산광역시,43343,31996
기초생활보장(맞춤형급여) - 중복제거,2023-10,세종특별자치시,8537,5830
기초생활보장(맞춤형급여) - 중복제거,2023-10,경기도,469684,342774
기초생활보장(맞춤형급여) - 중복제거,2023-10,충청북도,81321,60856
기초생활보장(맞춤형급여) - 중복제거,2023-10,충청남도,92361,69809
기초생활보장(맞춤형급여) - 중복제거,2023-10,전라북도,131118,93469
기초생활보장(맞춤형급여) - 중복제거,2023-10,전라남도,107088,80763
기초생활보장(맞춤형급여) - 중복제거,2023-10,경상북도,150884,114751
기초생활보장(맞춤형급여) - 중복제거,2023-10,경상남도,174911,129146
기초생활보장(맞춤형급여) - 중복제거,2023-10,제주특별자치도,34817,24099
기초생활보장(맞춤형급여) - 중복제거,2023-10,강원특별자치도,86620,65989
기초생활보장(맞춤형급여) - 중복제거,2023-11,서울특별시,426282,321537
기초생활보장(맞춤형급여) - 중복제거,2023-11,부산광역시,234181,175711
기초생활보장(맞춤형급여) - 중복제거,2023-11,대구광역시,154363,113404
기초생활보장(맞춤형급여) - 중복제거,2023-11,인천광역시,173665,122815
기초생활보장(맞춤형급여) - 중복제거,2023-11,광주광역시,96315,65648
기초생활보장(맞춤형급여) - 중복제거,2023-11,대전광역시,77510,55854
기초생활보장(맞춤형급여) - 중복제거,2023-11,울산광역시,43545,32210
기초생활보장(맞춤형급여) - 중복제거,2023-11,세종특별자치시,8561,5857
기초생활보장(맞춤형급여) - 중복제거,2023-11,경기도,471881,344822
기초생활보장(맞춤형급여) - 중복제거,2023-11,충청북도,81514,61010
기초생활보장(맞춤형급여) - 중복제거,2023-11,충청남도,92816,70111
기초생활보장(맞춤형급여) - 중복제거,2023-11,전라북도,131348,93640
기초생활보장(맞춤형급여) - 중복제거,2023-11,전라남도,107161,80803
기초생활보장(맞춤형급여) - 중복제거,2023-11,경상북도,151029,114894
기초생활보장(맞춤형급여) - 중복제거,2023-11,경상남도,175781,129826
기초생활보장(맞춤형급여) - 중복제거,2023-11,제주특별자치도,35038,24254
기초생활보장(맞춤형급여) - 중복제거,2023-11,강원특별자치도,86673,66024
기초생활보장(맞춤형급여) - 중복제거,2023-12,서울특별시,427880,322983
기초생활보장(맞춤형급여) - 중복제거,2023-12,부산광역시,234657,176133
기초생활보장(맞춤형급여) - 중복제거,2023-12,대구광역시,154802,113728
기초생활보장(맞춤형급여) - 중복제거,2023-12,인천광역시,174116,123182
기초생활보장(맞춤형급여) - 중복제거,2023-12,광주광역시,96473,65837
기초생활보장(맞춤형급여) - 중복제거,2023-12,대전광역시,77554,55935
기초생활보장(맞춤형급여) - 중복제거,2023-12,울산광역시,43817,32393
기초생활보장(맞춤형급여) - 중복제거,2023-12,세종특별자치시,8607,5886
기초생활보장(맞춤형급여) - 중복제거,2023-12,경기도,474086,346585
기초생활보장(맞춤형급여) - 중복제거,2023-12,충청북도,81577,61111
기초생활보장(맞춤형급여) - 중복제거,2023-12,충청남도,92992,70239
기초생활보장(맞춤형급여) - 중복제거,2023-12,전라북도,131557,93857
기초생활보장(맞춤형급여) - 중복제거,2023-12,전라남도,107240,80869
