사업명,기준년월,시도,수급권자수,수급가구수
기초생활보장(맞춤형급여) - 중복제거,2021-01,서울특별시,371454,272941
기초생활보장(맞춤형급여) - 중복제거,2021-01,부산광역시,197257,146044
기초생활보장(맞춤형급여) - 중복제거,2021-01,대구광역시,132049,95627
기초생활보장(맞춤형급여) - 중복제거,2021-01,인천광역시,143669,99904
기초생활보장(맞춤형급여) - 중복제거,2021-01,광주광역시,85010,56290
기초생활보장(맞춤형급여) - 중복제거,2021-01,대전광역시,67147,47239
기초생활보장(맞춤형급여) - 중복제거,2021-01,울산광역시,33528,24411
기초생활보장(맞춤형급여) - 중복제거,2021-01,세종특별자치시,7141,4837
기초생활보장(맞춤형급여) - 중복제거,2021-01,경기도,381681,274767
기초생활보장(맞춤형급여) - 중복제거,2021-01,강원도,78790,58837
기초생활보장(맞춤형급여) - 중복제거,2021-01,충청북도,69423,51389
기초생활보장(맞춤형급여) - 중복제거,2021-01,충청남도,75868,56886
기초생활보장(맞춤형급여) - 중복제거,2021-01,전라북도,115475,80872
기초생활보장(맞춤형급여) - 중복제거,2021-01,전라남도,92655,68892
기초생활보장(맞춤형급여) - 중복제거,2021-01,경상북도,125559,94786
기초생활보장(맞춤형급여) - 중복제거,2021-01,경상남도,138345,101948
기초생활보장(맞춤형급여) - 중복제거,2021-01,제주특별자치도,28895,20187
기초생활보장(맞춤형급여) - 중복제거,2021-02,서울특별시,374409,275379
기초생활보장(맞춤형급여) - 중복제거,2021-02,부산광역시,199146,147480
기초생활보장(맞춤형급여) - 중복제거,2021-02,대구광역시,133326,96563
기초생활보장(맞춤형급여) - 중복제거,2021-02,인천광역시,144871,100796
기초생활보장(맞춤형급여) - 중복제거,2021-02,광주광역시,85759,56816
기초생활보장(맞춤형급여) - 중복제거,2021-02,대전광역시,67432,47504
기초생활보장(맞춤형급여) - 중복제거,2021-02,울산광역시,33910,24723
기초생활보장(맞춤형급여) - 중복제거,2021-02,세종특별자치시,7231,4901
기초생활보장(맞춤형급여) - 중복제거,2021-02,경기도,385514,277537
기초생활보장(맞춤형급여) - 중복제거,2021-02,강원도,79384,59276
기초생활보장(맞춤형급여) - 중복제거,2021-02,충청북도,69993,51850
기초생활보장(맞춤형급여) - 중복제거,2021-02,충청남도,76626,57508
기초생활보장(맞춤형급여) - 중복제거,2021-02,전라북도,116492,81679
기초생활보장(맞춤형급여) - 중복제거,2021-02,전라남도,93341,69482
기초생활보장(맞춤형급여) - 중복제거,2021-02,경상북도,126890,95825
기초생활보장(맞춤형급여) - 중복제거,2021-02,경상남도,140043,103238
기초생활보장(맞춤형급여) - 중복제거,2021-02,제주특별자치도,29130,20340
기초생활보장(맞춤형급여) - 중복제거,2021-03,서울특별시,378123,278562
기초생활보장(맞춤형급여) - 중복제거,2021-03,부산광역시,202537,150007
기초생활보장(맞춤형급여) - 중복제거,2021-03,대구광역시,135518,98237
기초생활보장(맞춤형급여) - 중복제거,2021-03,인천광역시,146707,102086
기초생활보장(맞춤형급여) - 중복제거,2021-03,광주광역시,86726,57602
기초생활보장(맞춤형급여) - 중복제거,2021-03,대전광역시,68105,48068
기초생활보장(맞춤형급여) - 중복제거,2021-03,울산광역시,34895,25428
기초생활보장(맞춤형급여) - 중복제거,2021-03,세종특별자치시,7304,4941
기초생활보장(맞춤형급여) - 중복제거,2021-03,경기도,391437,281923
기초생활보장(맞춤형급여) - 중복제거,2021-03,강원도,80350,60185
기초생활보장(맞춤형급여) - 중복제거,2021-03,충청북도,71319,52985
기초생활보장(맞춤형급여) - 중복제거,2021-03,충청남도,78331,58906
기초생활보장(맞춤형급여) - 중복제거,2021-03,전라북도,118591,83398
기초생활보장(맞춤형급여) - 중복제거,2021-03,전라남도,95376,71380
기초생활보장(맞춤형급여) - 중복제거,2021-03,경상북도,129688,98225
기초생활보장(맞춤형급여) - 중복제거,2021-03,경상남도,142943,105489
기초생활보장(맞춤형급여) - 중복제거,2021-03,제주특별자치도,29696,20702
기초생활보장(맞춤형급여) - 중복제거,2021-04,서울특별시,383459,282677
기초생활보장(맞춤형급여) - 중복제거,2021-04,부산광역시,206335,152560
기초생활보장(맞춤형급여) - 중복제거,2021-04,대구광역시,137701,99766
기초생활보장(맞춤형급여) - 중복제거,2021-04,인천광역시,149053,103708
기초생활보장(맞춤형급여) - 중복제거,2021-04,광주광역시,88445,58735
기초생활보장(맞춤형급여) - 중복제거,2021-04,대전광역시,69358,48940
기초생활보장(맞춤형급여) - 중복제거,2021-04,울산광역시,35602,25903
기초생활보장(맞춤형급여) - 중복제거,2021-04,세종특별자치시,7408,5000
기초생활보장(맞춤형급여) - 중복제거,2021-04,경기도,398293,286757
기초생활보장(맞춤형급여) - 중복제거,2021-04,강원도,81273,60875
기초생활보장(맞춤형급여) - 중복제거,2021-04,충청북도,73001,54099
기초생활보장(맞춤형급여) - 중복제거,2021-04,충청남도,79822,60007
기초생활보장(맞춤형급여) - 중복제거,2021-04,전라북도,120924,85059
기초생활보장(맞춤형급여) - 중복제거,2021-04,전라남도,97736,73180
기초생활보장(맞춤형급여) - 중복제거,2021-04,경상북도,133062,100692
기초생활보장(맞춤형급여) - 중복제거,2021-04,경상남도,146013,107521
기초생활보장(맞춤형급여) - 중복제거,2021-04,제주특별자치도,30411,21147
기초생활보장(맞춤형급여) - 중복제거,2021-05,서울특별시,388479,286390
기초생활보장(맞춤형급여) - 중복제거,2021-05,부산광역시,208893,154391
기초생활보장(맞춤형급여) - 중복제거,2021-05,대구광역시,139628,101045
기초생활보장(맞춤형급여) - 중복제거,2021-05,인천광역시,151399,105264
기초생활보장(맞춤형급여) - 중복제거,2021-05,광주광역시,89180,59279
기초생활보장(맞춤형급여) - 중복제거,2021-05,대전광역시,70434,49641
기초생활보장(맞춤형급여) - 중복제거,2021-05,울산광역시,36301,26381
기초생활보장(맞춤형급여) - 중복제거,2021-05,세종특별자치시,7571,5099
기초생활보장(맞춤형급여) - 중복제거,2021-05,경기도,404520,290978
기초생활보장(맞춤형급여) - 중복제거,2021-05,강원도,82040,61466
기초생활보장(맞춤형급여) - 중복제거,2021-05,충청북도,74088,54817
기초생활보장(맞춤형급여) - 중복제거,2021-05,충청남도,81270,61035
기초생활보장(맞춤형급여) - 중복제거,2021-05,전라북도,122494,86096
기초생활보장(맞춤형급여) - 중복제거,2021-05,전라남도,98923,74094
기초생활보장(맞춤형급여) - 중복제거,2021-05,경상북도,134941,102053
기초생활보장(맞춤형급여) - 중복제거,2021-05,경상남도,148822,109317
기초생활보장(맞춤형급여) - 중복제거,2021-05,제주특별자치도,31056,21552
기초생활보장(맞춤형급여) - 중복제거,2021-06,서울특별시,392986,289768
기초생활보장(맞춤형급여) - 중복제거,2021-06,부산광역시,211029,155983
기초생활보장(맞춤형급여) - 중복제거,2021-06,대구광역시,140809,101910
기초생활보장(맞춤형급여) - 중복제거,2021-06,인천광역시,153713,106857
기초생활보장(맞춤형급여) - 중복제거,2021-06,광주광역시,90031,59868
기초생활보장(맞춤형급여) - 중복제거,2021-06,대전광역시,71075,50093
기초생활보장(맞춤형급여) - 중복제거,2021-06,울산광역시,36833,26764
기초생활보장(맞춤형급여) - 중복제거,2021-06,세종특별자치시,7648,5128
기초생활보장(맞춤형급여) - 중복제거,2021-06,경기도,409462,294526
기초생활보장(맞춤형급여) - 중복제거,2021-06,강원도,82710,61941
기초생활보장(맞춤형급여) - 중복제거,2021-06,충청북도,74821,55348
기초생활보장(맞춤형급여) - 중복제거,2021-06,충청남도,82065,61687
기초생활보장(맞춤형급여) - 중복제거,2021-06,전라북도,123351,86724
기초생활보장(맞춤형급여) - 중복제거,2021-06,전라남도,99797,74789
기초생활보장(맞춤형급여) - 중복제거,2021-06,경상북도,136360,103072
기초생활보장(맞춤형급여) - 중복제거,2021-06,경상남도,150794,110718
기초생활보장(맞춤형급여) - 중복제거,2021-06,제주특별자치도,31406,21797
기초생활보장(맞춤형급여) - 중복제거,2021-07,서울특별시,394545,291513
