사업명,기준년월,시도,수급권자수,수급가구수
기초생활보장(맞춤형급여)-중복제거,2020-01,서울특별시,318573,233718
기초생활보장(맞춤형급여)-중복제거,2020-01,부산광역시,173101,128954
기초생활보장(맞춤형급여)-중복제거,2020-01,대구광역시,118067,85365
기초생활보장(맞춤형급여)-중복제거,2020-01,인천광역시,123052,86178
기초생활보장(맞춤형급여)-중복제거,2020-01,광주광역시,76469,50584
기초생활보장(맞춤형급여)-중복제거,2020-01,대전광역시,59625,42055
기초생활보장(맞춤형급여)-중복제거,2020-01,울산광역시,26789,19828
기초생활보장(맞춤형급여)-중복제거,2020-01,세종특별자치시,5803,4072
기초생활보장(맞춤형급여)-중복제거,2020-01,경기도,330848,240494
기초생활보장(맞춤형급여)-중복제거,2020-01,강원도,71669,53849
기초생활보장(맞춤형급여)-중복제거,2020-01,충청북도,62700,46815
기초생활보장(맞춤형급여)-중복제거,2020-01,충청남도,69237,51919
기초생활보장(맞춤형급여)-중복제거,2020-01,전라북도,106063,74439
기초생활보장(맞춤형급여)-중복제거,2020-01,전라남도,87095,64935
기초생활보장(맞춤형급여)-중복제거,2020-01,경상북도,114062,86485
기초생활보장(맞춤형급여)-중복제거,2020-01,경상남도,121961,90922
기초생활보장(맞춤형급여)-중복제거,2020-01,제주특별자치도,24510,17476
기초생활보장(맞춤형급여)-중복제거,2020-02,서울특별시,321894,236337
기초생활보장(맞춤형급여)-중복제거,2020-02,부산광역시,174865,130259
기초생활보장(맞춤형급여)-중복제거,2020-02,대구광역시,119147,86136
기초생활보장(맞춤형급여)-중복제거,2020-02,인천광역시,124287,87051
기초생활보장(맞춤형급여)-중복제거,2020-02,광주광역시,77098,51003
기초생활보장(맞춤형급여)-중복제거,2020-02,대전광역시,60081,42393
기초생활보장(맞춤형급여)-중복제거,2020-02,울산광역시,27154,20113
기초생활보장(맞춤형급여)-중복제거,2020-02,세종특별자치시,5895,4128
기초생활보장(맞춤형급여)-중복제거,2020-02,경기도,335024,243382
기초생활보장(맞춤형급여)-중복제거,2020-02,강원도,72306,54338
기초생활보장(맞춤형급여)-중복제거,2020-02,충청북도,63284,47220
기초생활보장(맞춤형급여)-중복제거,2020-02,충청남도,69608,52231
기초생활보장(맞춤형급여)-중복제거,2020-02,전라북도,106696,74864
기초생활보장(맞춤형급여)-중복제거,2020-02,전라남도,87433,65171
기초생활보장(맞춤형급여)-중복제거,2020-02,경상북도,114932,87118
기초생활보장(맞춤형급여)-중복제거,2020-02,경상남도,123349,91865
기초생활보장(맞춤형급여)-중복제거,2020-02,제주특별자치도,24735,17665
기초생활보장(맞춤형급여)-중복제거,2020-03,서울특별시,325769,239036
기초생활보장(맞춤형급여)-중복제거,2020-03,부산광역시,177019,131618
기초생활보장(맞춤형급여)-중복제거,2020-03,대구광역시,120344,86962
기초생활보장(맞춤형급여)-중복제거,2020-03,인천광역시,125986,88142
기초생활보장(맞춤형급여)-중복제거,2020-03,광주광역시,77934,51492
기초생활보장(맞춤형급여)-중복제거,2020-03,대전광역시,60682,42779
기초생활보장(맞춤형급여)-중복제거,2020-03,울산광역시,28014,20683
기초생활보장(맞춤형급여)-중복제거,2020-03,세종특별자치시,5999,4185
기초생활보장(맞춤형급여)-중복제거,2020-03,경기도,339450,246255
기초생활보장(맞춤형급여)-중복제거,2020-03,강원도,73321,54984
기초생활보장(맞춤형급여)-중복제거,2020-03,충청북도,63905,47690
기초생활보장(맞춤형급여)-중복제거,2020-03,충청남도,70180,52672
기초생활보장(맞춤형급여)-중복제거,2020-03,전라북도,107570,75398
기초생활보장(맞춤형급여)-중복제거,2020-03,전라남도,88024,65534
기초생활보장(맞춤형급여)-중복제거,2020-03,경상북도,115992,87865
기초생활보장(맞춤형급여)-중복제거,2020-03,경상남도,124709,92800
기초생활보장(맞춤형급여)-중복제거,2020-03,제주특별자치도,25011,17823
기초생활보장(맞춤형급여)-중복제거,2020-04,서울특별시,330610,242268
기초생활보장(맞춤형급여)-중복제거,2020-04,부산광역시,180131,133609
기초생활보장(맞춤형급여)-중복제거,2020-04,대구광역시,122127,88147
기초생활보장(맞춤형급여)-중복제거,2020-04,인천광역시,128059,89390
기초생활보장(맞춤형급여)-중복제거,2020-04,광주광역시,79315,52261
기초생활보장(맞춤형급여)-중복제거,2020-04,대전광역시,61858,43432
기초생활보장(맞춤형급여)-중복제거,2020-04,울산광역시,28720,21104
기초생활보장(맞춤형급여)-중복제거,2020-04,세종특별자치시,6210,4305
기초생활보장(맞춤형급여)-중복제거,2020-04,경기도,345600,249990
기초생활보장(맞춤형급여)-중복제거,2020-04,강원도,74427,55653
기초생활보장(맞춤형급여)-중복제거,2020-04,충청북도,64934,48253
