사업명,기준년월,시도,수급권자수,수급가구수
기초생활보장(맞춤형급여) - 중복제거,2022-01,서울특별시,403165,300800
기초생활보장(맞춤형급여) - 중복제거,2022-01,부산광역시,217920,162632
기초생활보장(맞춤형급여) - 중복제거,2022-01,대구광역시,144397,105467
기초생활보장(맞춤형급여) - 중복제거,2022-01,인천광역시,159627,112206
기초생활보장(맞춤형급여) - 중복제거,2022-01,광주광역시,91397,61684
기초생활보장(맞춤형급여) - 중복제거,2022-01,대전광역시,72929,52004
기초생활보장(맞춤형급여) - 중복제거,2022-01,울산광역시,38706,28435
기초생활보장(맞춤형급여) - 중복제거,2022-01,세종특별자치시,7912,5355
기초생활보장(맞춤형급여) - 중복제거,2022-01,경기도,423352,308051
기초생활보장(맞춤형급여) - 중복제거,2022-01,강원도,84011,63668
기초생활보장(맞춤형급여) - 중복제거,2022-01,충청북도,76588,57217
기초생활보장(맞춤형급여) - 중복제거,2022-01,충청남도,85055,64434
기초생활보장(맞춤형급여) - 중복제거,2022-01,전라북도,125342,89247
기초생활보장(맞춤형급여) - 중복제거,2022-01,전라남도,101434,76839
기초생활보장(맞춤형급여) - 중복제거,2022-01,경상북도,141395,107785
기초생활보장(맞춤형급여) - 중복제거,2022-01,경상남도,157466,116546
기초생활보장(맞춤형급여) - 중복제거,2022-01,제주특별자치도,32560,22752
기초생활보장(맞춤형급여) - 중복제거,2022-02,서울특별시,404442,302298
기초생활보장(맞춤형급여) - 중복제거,2022-02,부산광역시,218824,163449
기초생활보장(맞춤형급여) - 중복제거,2022-02,대구광역시,144719,105850
기초생활보장(맞춤형급여) - 중복제거,2022-02,인천광역시,160263,112860
기초생활보장(맞춤형급여) - 중복제거,2022-02,광주광역시,91685,61977
기초생활보장(맞춤형급여) - 중복제거,2022-02,대전광역시,73072,52177
기초생활보장(맞춤형급여) - 중복제거,2022-02,울산광역시,38943,28656
기초생활보장(맞춤형급여) - 중복제거,2022-02,세종특별자치시,7945,5385
기초생활보장(맞춤형급여) - 중복제거,2022-02,경기도,425322,309780
기초생활보장(맞춤형급여) - 중복제거,2022-02,강원도,84206,63880
기초생활보장(맞춤형급여) - 중복제거,2022-02,충청북도,76862,57465
기초생활보장(맞춤형급여) - 중복제거,2022-02,충청남도,85508,64877
기초생활보장(맞춤형급여) - 중복제거,2022-02,전라북도,125840,89768
기초생활보장(맞춤형급여) - 중복제거,2022-02,전라남도,101894,77221
기초생활보장(맞춤형급여) - 중복제거,2022-02,경상북도,142079,108458
기초생활보장(맞춤형급여) - 중복제거,2022-02,경상남도,158426,117377
기초생활보장(맞춤형급여) - 중복제거,2022-02,제주특별자치도,32661,22873
기초생활보장(맞춤형급여) - 중복제거,2022-03,서울특별시,404365,302872
