"사업명","기준년월","시도","수급권자수","수급가구수"
기초생활보장(맞춤형급여) - 중복제거,"2024-01",서울특별시,429251,324252
기초생활보장(맞춤형급여) - 중복제거,"2024-01",부산광역시,234976,176597
기초생활보장(맞춤형급여) - 중복제거,"2024-01",대구광역시,155045,113998
기초생활보장(맞춤형급여) - 중복제거,"2024-01",인천광역시,174614,123654
기초생활보장(맞춤형급여) - 중복제거,"2024-01",광주광역시,96461,65904
기초생활보장(맞춤형급여) - 중복제거,"2024-01",대전광역시,77638,56069
기초생활보장(맞춤형급여) - 중복제거,"2024-01",울산광역시,43927,32491
기초생활보장(맞춤형급여) - 중복제거,"2024-01",세종특별자치시,8604,5893
기초생활보장(맞춤형급여) - 중복제거,"2024-01",경기도,475350,347957
기초생활보장(맞춤형급여) - 중복제거,"2024-01",충청북도,81606,61206
기초생활보장(맞춤형급여) - 중복제거,"2024-01",충청남도,93182,70417
기초생활보장(맞춤형급여) - 중복제거,"2024-01",전라남도,107424,81049
기초생활보장(맞춤형급여) - 중복제거,"2024-01",경상북도,151367,115292
기초생활보장(맞춤형급여) - 중복제거,"2024-01",경상남도,176454,130467
기초생활보장(맞춤형급여) - 중복제거,"2024-01",제주특별자치도,35052,24291
기초생활보장(맞춤형급여) - 중복제거,"2024-01",강원특별자치도,86784,66209
기초생활보장(맞춤형급여) - 중복제거,"2024-01",전북특별자치도,131687,94116
기초생활보장(맞춤형급여) - 중복제거,"2024-02",서울특별시,431305,326012
기초생활보장(맞춤형급여) - 중복제거,"2024-02",부산광역시,235884,177364
기초생활보장(맞춤형급여) - 중복제거,"2024-02",대구광역시,155870,114588
기초생활보장(맞춤형급여) - 중복제거,"2024-02",인천광역시,175235,124205
기초생활보장(맞춤형급여) - 중복제거,"2024-02",광주광역시,96842,66166
기초생활보장(맞춤형급여) - 중복제거,"2024-02",대전광역시,77849,56250
기초생활보장(맞춤형급여) - 중복제거,"2024-02",울산광역시,44252,32704
기초생활보장(맞춤형급여) - 중복제거,"2024-02",세종특별자치시,8642,5915
기초생활보장(맞춤형급여) - 중복제거,"2024-02",경기도,478193,350127
기초생활보장(맞춤형급여) - 중복제거,"2024-02",충청북도,82065,61552
기초생활보장(맞춤형급여) - 중복제거,"2024-02",충청남도,93788,70828
기초생활보장(맞춤형급여) - 중복제거,"2024-02",전라남도,107679,81259
기초생활보장(맞춤형급여) - 중복제거,"2024-02",경상북도,152135,115901
기초생활보장(맞춤형급여) - 중복제거,"2024-02",경상남도,177379,131177
기초생활보장(맞춤형급여) - 중복제거,"2024-02",제주특별자치도,35269,24449
기초생활보장(맞춤형급여) - 중복제거,"2024-02",강원특별자치도,87137,66497
기초생활보장(맞춤형급여) - 중복제거,"2024-02",전북특별자치도,132238,94573
기초생활보장(맞춤형급여) - 중복제거,"2024-03",서울특별시,432058,326958
기초생활보장(맞춤형급여) - 중복제거,"2024-03",부산광역시,236789,178159
기초생활보장(맞춤형급여) - 중복제거,"2024-03",대구광역시,156446,115103
기초생활보장(맞춤형급여) - 중복제거,"2024-03",인천광역시,175886,124790
기초생활보장(맞춤형급여) - 중복제거,"2024-03",광주광역시,96970,66336
기초생활보장(맞춤형급여) - 중복제거,"2024-03",대전광역시,77939,56412
기초생활보장(맞춤형급여) - 중복제거,"2024-03",울산광역시,44549,32923
기초생활보장(맞춤형급여) - 중복제거,"2024-03",세종특별자치시,8684,5946
기초생활보장(맞춤형급여) - 중복제거,"2024-03",경기도,480165,351978
기초생활보장(맞춤형급여) - 중복제거,"2024-03",충청북도,82452,61901
기초생활보장(맞춤형급여) - 중복제거,"2024-03",충청남도,94005,71058
기초생활보장(맞춤형급여) - 중복제거,"2024-03",전라남도,108014,81586
기초생활보장(맞춤형급여) - 중복제거,"2024-03",경상북도,152652,116405
기초생활보장(맞춤형급여) - 중복제거,"2024-03",경상남도,177968,131829
기초생활보장(맞춤형급여) - 중복제거,"2024-03",제주특별자치도,35413,24570
기초생활보장(맞춤형급여) - 중복제거,"2024-03",강원특별자치도,87451,66758
기초생활보장(맞춤형급여) - 중복제거,"2024-03",전북특별자치도,132392,94825
기초생활보장(맞춤형급여) - 중복제거,"2024-04",서울특별시,434239,328812
기초생활보장(맞춤형급여) - 중복제거,"2024-04",부산광역시,238317,179284
기초생활보장(맞춤형급여) - 중복제거,"2024-04",대구광역시,157625,115908
기초생활보장(맞춤형급여) - 중복제거,"2024-04",인천광역시,177421,125853
기초생활보장(맞춤형급여) - 중복제거,"2024-04",광주광역시,97963,66943
기초생활보장(맞춤형급여) - 중복제거,"2024-04",대전광역시,78345,56762
기초생활보장(맞춤형급여) - 중복제거,"2024-04",울산광역시,44888,33152
기초생활보장(맞춤형급여) - 중복제거,"2024-04",세종특별자치시,8739,5989
기초생활보장(맞춤형급여) - 중복제거,"2024-04",경기도,484252,354941
기초생활보장(맞춤형급여) - 중복제거,"2024-04",충청북도,83090,62329
기초생활보장(맞춤형급여) - 중복제거,"2024-04",충청남도,94600,71502
기초생활보장(맞춤형급여) - 중복제거,"2024-04",전라남도,108705,82088
기초생활보장(맞춤형급여) - 중복제거,"2024-04",경상북도,154001,117370
기초생활보장(맞춤형급여) - 중복제거,"2024-04",경상남도,179409,132756
기초생활보장(맞춤형급여) - 중복제거,"2024-04",제주특별자치도,35727,24751
기초생활보장(맞춤형급여) - 중복제거,"2024-04",강원특별자치도,87793,66989
기초생활보장(맞춤형급여) - 중복제거,"2024-04",전북특별자치도,133031,95321
기초생활보장(맞춤형급여) - 중복제거,"2024-05",서울특별시,436915,330904
기초생활보장(맞춤형급여) - 중복제거,"2024-05",부산광역시,239848,180384
기초생활보장(맞춤형급여) - 중복제거,"2024-05",대구광역시,158743,116677
기초생활보장(맞춤형급여) - 중복제거,"2024-05",인천광역시,178869,126865
기초생활보장(맞춤형급여) - 중복제거,"2024-05",광주광역시,98494,67344
기초생활보장(맞춤형급여) - 중복제거,"2024-05",대전광역시,78810,57112
기초생활보장(맞춤형급여) - 중복제거,"2024-05",울산광역시,45256,33397
기초생활보장(맞춤형급여) - 중복제거,"2024-05",세종특별자치시,8928,6096
기초생활보장(맞춤형급여) - 중복제거,"2024-05",경기도,489303,358443
기초생활보장(맞춤형급여) - 중복제거,"2024-05",충청북도,83789,62822
기초생활보장(맞춤형급여) - 중복제거,"2024-05",충청남도,95590,72133
기초생활보장(맞춤형급여) - 중복제거,"2024-05",전라남도,109447,82566
기초생활보장(맞춤형급여) - 중복제거,"2024-05",경상북도,155184,118144
기초생활보장(맞춤형급여) - 중복제거,"2024-05",경상남도,180849,133742
기초생활보장(맞춤형급여) - 중복제거,"2024-05",제주특별자치도,36143,25004
기초생활보장(맞춤형급여) - 중복제거,"2024-05",강원특별자치도,88660,67440
기초생활보장(맞춤형급여) - 중복제거,"2024-05",전북특별자치도,133768,95768
기초생활보장(맞춤형급여) - 중복제거,"2024-06",서울특별시,438605,332327
기초생활보장(맞춤형급여) - 중복제거,"2024-06",부산광역시,240636,180969
기초생활보장(맞춤형급여) - 중복제거,"2024-06",대구광역시,159403,117124
기초생활보장(맞춤형급여) - 중복제거,"2024-06",인천광역시,180087,127758
기초생활보장(맞춤형급여) - 중복제거,"2024-06",광주광역시,98813,67571
기초생활보장(맞춤형급여) - 중복제거,"2024-06",대전광역시,79207,57427
기초생활보장(맞춤형급여) - 중복제거,"2024-06",울산광역시,45454,33548
기초생활보장(맞춤형급여) - 중복제거,"2024-06",세종특별자치시,9006,6148
기초생활보장(맞춤형급여) - 중복제거,"2024-06",경기도,493014,361090
기초생활보장(맞춤형급여) - 중복제거,"2024-06",충청북도,83936,62966
기초생활보장(맞춤형급여) - 중복제거,"2024-06",충청남도,96012,72436
기초생활보장(맞춤형급여) - 중복제거,"2024-06",전라남도,109967,82936
기초생활보장(맞춤형급여) - 중복제거,"2024-06",경상북도,155818,118592
기초생활보장(맞춤형급여) - 중복제거,"2024-06",경상남도,181768,134421
기초생활보장(맞춤형급여) - 중복제거,"2024-06",제주특별자치도,36337,25154
기초생활보장(맞춤형급여) - 중복제거,"2024-06",강원특별자치도,88676,67595
기초생활보장(맞춤형급여) - 중복제거,"2024-06",전북특별자치도,134438,96220
기초생활보장(맞춤형급여) - 중복제거,"2024-07",서울특별시,438972,333108
기초생활보장(맞춤형급여) - 중복제거,"2024-07",부산광역시,240845,181375
기초생활보장(맞춤형급여) - 중복제거,"2024-07",대구광역시,159748,117464
기초생활보장(맞춤형급여) - 중복제거,"2024-07",인천광역시,180583,128304
기초생활보장(맞춤형급여) - 중복제거,"2024-07",광주광역시,98693,67666
기초생활보장(맞춤형급여) - 중복제거,"2024-07",대전광역시,79305,57612
기초생활보장(맞춤형급여) - 중복제거,"2024-07",울산광역시,45507,33649
기초생활보장(맞춤형급여) - 중복제거,"2024-07",세종특별자치시,8993,6144
기초생활보장(맞춤형급여) - 중복제거,"2024-07",경기도,494834,362940
기초생활보장(맞춤형급여) - 중복제거,"2024-07",충청북도,84041,63092
기초생활보장(맞춤형급여) - 중복제거,"2024-07",충청남도,96097,72580
기초생활보장(맞춤형급여) - 중복제거,"2024-07",전라남도,110014,83081
기초생활보장(맞춤형급여) - 중복제거,"2024-07",경상북도,155967,118854
기초생활보장(맞춤형급여) - 중복제거,"2024-07",경상남도,182232,134968
기초생활보장(맞춤형급여) - 중복제거,"2024-07",제주특별자치도,36378,25239
